,Buy Threshold,Sell Threshold,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Sum
645,0.13,-0.2,-0.91,1.72,0.19,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.86,0.59,-1.07,1.83,1.59
644,0.13,-0.19,-0.91,1.72,0.19,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.86,0.59,-1.07,1.83,1.59
643,0.13,-0.18,-0.91,1.72,0.19,-4.96,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,1.57
24,0.25,0.01,0.0,-0.39,0.0,0.51,0.11,0.0,0.0,0.0,0.0,-0.07,-0.34,0.0,1.64,1.46
749,0.11,-0.24,-4.12,1.72,3.93,-4.96,-0.6,-1.15,2.0,-0.58,0.62,2.11,0.59,-1.32,3.2,1.44
39,0.25,-0.14,0.0,1.01,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.55,0.59,0.0,1.83,1.44
97,0.24,-0.22,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,0.0,1.83,1.33
96,0.24,-0.21,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,0.0,1.83,1.33
191,0.22,-0.16,-0.9,1.63,0.0,-3.7,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,1.33
99,0.24,-0.24,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,0.0,1.83,1.33
98,0.24,-0.23,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,0.0,1.83,1.33
190,0.22,-0.15,-0.9,1.63,0.0,-3.7,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,1.33
596,0.14,-0.21,-1.41,1.72,0.25,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.99,0.59,-1.07,1.83,1.28
95,0.24,-0.2,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,0.0,1.83,1.2
94,0.24,-0.19,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,0.0,1.83,1.2
93,0.24,-0.18,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,0.0,1.83,1.2
92,0.24,-0.17,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,0.0,1.83,1.2
139,0.23,-0.14,0.0,1.01,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.86,0.59,-0.58,1.83,1.17
79,0.24,-0.04,0.0,-0.39,0.0,-0.85,0.11,0.0,0.0,-0.01,0.0,0.01,0.47,0.0,1.83,1.17
80,0.24,-0.05,0.0,-0.39,0.0,-0.85,0.11,0.0,0.0,-0.01,0.0,0.01,0.47,0.0,1.83,1.17
595,0.14,-0.2,-1.41,1.72,0.25,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.86,0.59,-1.07,1.83,1.15
594,0.14,-0.19,-1.41,1.72,0.25,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.86,0.59,-1.07,1.83,1.15
240,0.21,-0.15,-0.9,1.63,0.0,-3.7,-0.07,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,1.15
241,0.21,-0.16,-0.9,1.63,0.0,-3.7,-0.07,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,1.15
593,0.14,-0.18,-1.41,1.72,0.25,-4.96,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,1.13
132,0.23,-0.07,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.64,1.22,0.2,1.83,1.11
697,0.12,-0.22,-4.12,1.72,3.93,-4.96,-0.6,-1.41,2.41,0.06,0.62,2.11,0.59,-1.07,1.83,1.11
698,0.12,-0.23,-4.12,1.72,3.93,-4.96,-0.6,-1.41,2.41,0.06,0.62,2.11,0.59,-1.07,1.83,1.11
546,0.15,-0.21,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.99,0.59,-1.07,1.83,1.03
547,0.15,-0.22,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.99,0.59,-1.07,1.83,1.03
341,0.19,-0.16,-0.9,1.63,0.0,-3.7,-0.07,0.0,0.0,0.34,0.0,1.86,0.59,-0.58,1.83,1.0
291,0.2,-0.16,-0.9,1.63,0.0,-3.7,-0.07,0.0,0.0,0.34,0.0,1.86,0.59,-0.58,1.83,1.0
340,0.19,-0.15,-0.9,1.63,0.0,-3.7,-0.07,0.0,0.0,0.34,0.0,1.86,0.59,-0.58,1.83,1.0
290,0.2,-0.15,-0.9,1.63,0.0,-3.7,-0.07,0.0,0.0,0.34,0.0,1.86,0.59,-0.58,1.83,1.0
747,0.11,-0.22,-4.12,1.72,3.93,-4.96,-0.6,-1.15,2.0,-1.06,0.62,2.11,0.59,-1.32,3.2,0.96
748,0.11,-0.23,-4.12,1.72,3.93,-4.96,-0.6,-1.15,2.0,-1.06,0.62,2.11,0.59,-1.32,3.2,0.96
82,0.24,-0.07,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.64,1.22,0.0,1.83,0.91
545,0.15,-0.2,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.86,0.59,-1.07,1.83,0.9
544,0.15,-0.19,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.43,1.9,1.86,0.59,-1.07,1.83,0.9
539,0.15,-0.14,-1.41,1.1,0.0,-4.1,-0.6,-1.8,2.41,0.18,1.9,1.86,0.59,-1.07,1.83,0.89
542,0.15,-0.17,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,0.88
543,0.15,-0.18,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,0.88
639,0.13,-0.14,-0.91,1.1,-0.55,-4.1,-0.6,-1.8,2.41,0.18,1.9,1.86,0.59,-1.07,1.83,0.84
642,0.13,-0.17,-0.91,1.72,-0.55,-4.96,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,0.83
32,0.25,-0.07,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.55,1.22,0.0,1.83,0.82
699,0.12,-0.24,-4.12,1.72,3.93,-4.96,-0.6,-1.41,2.41,-0.26,0.62,2.11,0.59,-1.07,1.83,0.79
147,0.23,-0.22,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,0.75
148,0.23,-0.23,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,0.75
149,0.23,-0.24,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,0.75
146,0.23,-0.21,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,0.75
74,0.24,0.01,0.0,-0.39,0.0,0.51,0.11,0.0,0.0,0.0,0.0,-0.67,-0.52,0.0,1.64,0.68
497,0.16,-0.22,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.36,1.9,1.99,0.59,-1.41,1.83,0.62
496,0.16,-0.21,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.36,1.9,1.99,0.59,-1.41,1.83,0.62
143,0.23,-0.18,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,0.62
144,0.23,-0.19,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,0.62
145,0.23,-0.2,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,0.62
142,0.23,-0.17,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,0.62
27,0.25,-0.02,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,0.0,0.0,-0.07,-0.34,0.0,1.83,0.52
28,0.25,-0.03,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,-0.01,0.0,-0.07,-0.34,0.0,1.83,0.51
494,0.16,-0.19,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.36,1.9,1.86,0.59,-1.41,1.83,0.49
495,0.16,-0.2,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.36,1.9,1.86,0.59,-1.41,1.83,0.49
489,0.16,-0.14,-1.41,1.1,0.0,-4.1,-0.6,-1.8,2.41,0.11,1.9,1.86,0.59,-1.41,1.83,0.48
493,0.16,-0.18,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.34,1.9,1.86,0.59,-1.41,1.83,0.47
492,0.16,-0.17,-1.41,1.72,0.0,-4.96,-0.6,-1.8,2.41,0.34,1.9,1.86,0.59,-1.41,1.83,0.47
77,0.24,-0.02,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,0.0,0.0,0.01,-0.52,0.0,1.83,0.42
78,0.24,-0.03,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,-0.01,0.0,0.01,-0.52,0.0,1.83,0.41
589,0.14,-0.14,-1.41,1.1,-0.49,-4.1,-0.6,-1.8,2.41,0.18,1.9,1.86,0.59,-1.07,1.83,0.4
592,0.14,-0.17,-1.41,1.72,-0.49,-4.96,-0.6,-1.8,2.41,0.41,1.9,1.86,0.59,-1.07,1.83,0.39
130,0.23,-0.05,0.0,-0.39,0.0,-0.85,0.11,0.0,0.0,-0.01,0.0,0.01,0.47,-0.79,1.83,0.38
129,0.23,-0.04,0.0,-0.39,0.0,-0.85,0.11,0.0,0.0,-0.01,0.0,0.01,0.47,-0.79,1.83,0.38
25,0.25,0.0,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,0.0,0.0,-0.07,-0.34,0.0,1.64,0.33
26,0.25,-0.01,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,0.0,0.0,-0.07,-0.34,0.0,1.64,0.33
45,0.25,-0.2,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.55,0.0,0.0,1.83,0.3
43,0.25,-0.18,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.55,0.0,0.0,1.83,0.3
44,0.25,-0.19,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.55,0.0,0.0,1.83,0.3
42,0.25,-0.17,0.0,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.55,0.0,0.0,1.83,0.3
23,0.25,0.02,0.0,-0.39,0.0,0.51,0.11,0.0,0.0,0.0,0.0,-0.07,-0.34,0.0,0.47,0.29
29,0.25,-0.04,0.0,-0.39,0.0,-0.85,0.11,0.0,0.0,-0.01,0.0,-0.07,-0.34,0.0,1.83,0.28
30,0.25,-0.05,0.0,-0.39,0.0,-0.85,0.11,0.0,0.0,-0.01,0.0,-0.07,-0.34,0.0,1.83,0.28
85,0.24,-0.1,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.64,0.59,0.0,1.83,0.28
83,0.24,-0.08,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.64,0.59,0.0,1.83,0.28
84,0.24,-0.09,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.64,0.59,0.0,1.83,0.28
189,0.22,-0.14,-0.9,1.01,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.86,0.59,-0.58,1.83,0.27
87,0.24,-0.12,0.0,-0.3,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.64,0.59,0.0,1.83,0.22
86,0.24,-0.11,0.0,-0.3,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.64,0.59,0.0,1.83,0.22
182,0.22,-0.07,-0.9,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.64,1.22,0.2,1.83,0.21
33,0.25,-0.08,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.55,0.59,0.0,1.83,0.19
35,0.25,-0.1,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.55,0.59,0.0,1.83,0.19
34,0.25,-0.09,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.55,0.59,0.0,1.83,0.19
88,0.24,-0.13,0.0,-0.56,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.86,0.59,0.0,1.83,0.18
36,0.25,-0.11,0.0,-0.3,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.55,0.59,0.0,1.83,0.13
37,0.25,-0.12,0.0,-0.3,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.55,0.59,0.0,1.83,0.13
239,0.21,-0.14,-0.9,1.01,0.0,-3.91,-0.07,0.0,0.0,0.26,0.0,1.86,0.59,-0.58,1.83,0.09
799,0.1,-0.24,-4.12,1.83,3.93,-4.96,-0.6,-1.15,1.88,-0.58,0.62,2.11,0.59,-1.32,1.85,0.08
232,0.21,-0.07,-0.9,-0.3,0.0,-3.85,-0.07,0.0,0.0,0.26,0.0,1.64,1.22,0.2,1.83,0.03
289,0.2,-0.14,-0.9,1.01,0.0,-3.91,-0.07,0.0,0.0,0.11,0.0,1.86,0.59,-0.58,1.83,-0.06
339,0.19,-0.14,-0.9,1.01,0.0,-3.91,-0.07,0.0,0.0,0.11,0.0,1.86,0.59,-0.58,1.83,-0.06
488,0.16,-0.13,-1.41,0.52,0.0,-4.1,-0.6,-1.94,2.58,0.11,1.9,1.86,0.59,-1.41,1.83,-0.07
38,0.25,-0.13,0.0,-0.56,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.55,0.59,0.0,1.83,-0.13
282,0.2,-0.07,-0.9,-0.3,0.0,-3.85,-0.07,0.0,0.0,0.08,0.0,1.64,1.22,0.2,1.83,-0.15
332,0.19,-0.07,-0.9,-0.3,0.0,-3.85,-0.07,0.0,0.0,0.08,0.0,1.64,1.22,0.2,1.83,-0.15
196,0.22,-0.21,-0.9,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,-0.15
197,0.22,-0.22,-0.9,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,-0.15
198,0.22,-0.23,-0.9,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,-0.15
199,0.22,-0.24,-0.9,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,-0.15
638,0.13,-0.13,-0.91,0.52,-0.47,-4.1,-0.6,-1.94,2.58,0.18,1.9,1.86,0.59,-1.6,1.83,-0.16
538,0.15,-0.13,-1.41,0.52,0.0,-4.1,-0.6,-1.94,2.58,0.18,1.9,1.86,0.59,-1.57,1.83,-0.16
124,0.23,0.01,0.0,-0.39,0.0,-0.05,0.11,0.0,0.0,0.0,0.0,-0.67,-0.52,-0.33,1.64,-0.21
194,0.22,-0.19,-0.9,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,-0.28
195,0.22,-0.2,-0.9,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,-0.28
192,0.22,-0.17,-0.9,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,-0.28
193,0.22,-0.18,-0.9,1.63,0.0,-5.31,0.11,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,-0.28
133,0.23,-0.08,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.64,0.59,-0.58,1.83,-0.3
134,0.23,-0.09,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.64,0.59,-0.58,1.83,-0.3
135,0.23,-0.1,0.0,-0.3,0.0,-3.85,0.11,0.0,0.0,0.26,0.0,1.64,0.59,-0.58,1.83,-0.3
249,0.21,-0.24,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,-0.33
246,0.21,-0.21,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,-0.33
247,0.21,-0.22,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,-0.33
248,0.21,-0.23,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.49,0.0,1.99,0.59,-0.58,1.83,-0.33
136,0.23,-0.11,0.0,-0.3,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.64,0.59,-0.58,1.83,-0.36
81,0.24,-0.06,0.0,-0.3,0.0,-3.23,0.11,0.0,0.0,-0.01,0.0,0.02,1.22,0.0,1.83,-0.36
137,0.23,-0.12,0.0,-0.3,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.64,0.59,-0.58,1.83,-0.36
127,0.23,-0.02,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,0.0,0.0,0.01,-0.52,-0.79,1.83,-0.37
128,0.23,-0.03,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,-0.01,0.0,0.01,-0.52,-0.79,1.83,-0.38
797,0.1,-0.22,-4.12,1.83,3.93,-4.96,-0.6,-1.15,1.88,-1.06,0.62,2.11,0.59,-1.32,1.85,-0.4
798,0.1,-0.23,-4.12,1.83,3.93,-4.96,-0.6,-1.15,1.88,-1.06,0.62,2.11,0.59,-1.32,1.85,-0.4
138,0.23,-0.13,0.0,-0.56,0.0,-3.91,0.11,0.0,0.0,0.26,0.0,1.86,0.59,-0.58,1.83,-0.4
174,0.22,0.01,-0.21,-0.39,0.0,-0.05,0.11,0.0,0.0,0.0,0.0,-0.67,-0.52,-0.33,1.64,-0.42
76,0.24,-0.01,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,0.0,0.0,-0.67,-0.52,0.0,1.64,-0.45
75,0.24,0.0,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,0.0,0.0,-0.67,-0.52,0.0,1.64,-0.45
31,0.25,-0.06,0.0,-0.3,0.0,-3.23,0.11,0.0,0.0,-0.01,0.0,-0.07,1.22,0.0,1.83,-0.45
296,0.2,-0.21,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.99,0.59,-0.58,1.83,-0.46
244,0.21,-0.19,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,-0.46
242,0.21,-0.17,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,-0.46
348,0.19,-0.23,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.99,0.59,-0.58,1.83,-0.46
298,0.2,-0.23,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.99,0.59,-0.58,1.83,-0.46
347,0.19,-0.22,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.99,0.59,-0.58,1.83,-0.46
297,0.2,-0.22,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.99,0.59,-0.58,1.83,-0.46
243,0.21,-0.18,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,-0.46
346,0.19,-0.21,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.99,0.59,-0.58,1.83,-0.46
245,0.21,-0.2,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.49,0.0,1.86,0.59,-0.58,1.83,-0.46
73,0.24,0.02,0.0,-0.39,0.0,0.51,0.11,0.0,0.0,0.0,0.0,-0.67,-0.52,0.0,0.47,-0.49
899,0.08,-0.24,-3.56,1.83,4.0,-4.96,-0.6,-2.35,1.88,-0.58,0.62,2.11,0.59,-1.32,1.85,-0.49
19,0.25,0.06,0.0,-0.36,0.0,-0.31,0.11,0.0,0.0,0.0,0.0,-0.07,-0.34,0.0,0.47,-0.5
179,0.22,-0.04,-0.9,-0.39,0.0,-0.85,0.11,0.0,0.0,-0.01,0.0,0.01,0.47,-0.79,1.83,-0.52
180,0.22,-0.05,-0.9,-0.39,0.0,-0.85,0.11,0.0,0.0,-0.01,0.0,0.01,0.47,-0.79,1.83,-0.52
21,0.25,0.04,0.0,-0.39,0.0,-0.31,0.11,0.0,0.0,0.0,0.0,-0.07,-0.34,0.0,0.47,-0.53
20,0.25,0.05,0.0,-0.39,0.0,-0.31,0.11,0.0,0.0,0.0,0.0,-0.07,-0.34,0.0,0.47,-0.53
22,0.25,0.03,0.0,-0.39,0.0,-0.31,0.11,0.0,0.0,0.0,0.0,-0.07,-0.34,0.0,0.47,-0.53
295,0.2,-0.2,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.86,0.59,-0.58,1.83,-0.59
344,0.19,-0.19,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.86,0.59,-0.58,1.83,-0.59
294,0.2,-0.19,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.86,0.59,-0.58,1.83,-0.59
345,0.19,-0.2,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.36,0.0,1.86,0.59,-0.58,1.83,-0.59
588,0.14,-0.13,-1.41,0.52,-0.41,-4.1,-0.6,-1.94,2.58,0.18,1.9,1.86,0.59,-1.6,1.83,-0.6
343,0.19,-0.18,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.34,0.0,1.86,0.59,-0.58,1.83,-0.61
177,0.22,-0.02,-0.24,-0.39,0.0,-0.62,0.11,0.0,0.0,0.0,0.0,0.01,-0.52,-0.79,1.83,-0.61
292,0.2,-0.17,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.34,0.0,1.86,0.59,-0.58,1.83,-0.61
342,0.19,-0.17,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.34,0.0,1.86,0.59,-0.58,1.83,-0.61
293,0.2,-0.18,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.34,0.0,1.86,0.59,-0.58,1.83,-0.61
178,0.22,-0.03,-0.24,-0.39,0.0,-0.62,0.11,0.0,0.0,-0.01,0.0,0.01,-0.52,-0.79,1.83,-0.62
324,0.19,0.01,-0.21,-0.39,0.0,-0.05,-0.29,0.0,0.0,0.18,0.0,-0.67,-0.52,-0.33,1.64,-0.64
329,0.19,-0.04,-0.9,-0.39,0.0,-0.85,-0.29,0.0,0.0,0.17,0.0,0.01,0.47,-0.79,1.83,-0.74
330,0.19,-0.05,-0.9,-0.39,0.0,-0.85,-0.29,0.0,0.0,0.17,0.0,0.01,0.47,-0.79,1.83,-0.74
125,0.23,0.0,0.0,-0.39,0.0,-0.62,0.11,0.0,0.0,0.0,0.0,-0.67,-0.52,-0.33,1.64,-0.78
299,0.2,-0.24,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.04,0.0,1.99,0.59,-0.58,1.83,-0.78
349,0.19,-0.24,-0.9,1.63,0.0,-5.31,-0.07,0.0,0.0,0.04,0.0,1.99,0.59,-0.58,1.83,-0.78
123,0.23,0.02,0.0,-0.39,0.0,0.51,0.11,0.0,0.0,0.0,0.0,-0.67,-0.52,-0.33,0.47,-0.82
224,0.21,0.01,-0.21,-0.39,0.0,-0.05,-0.29,0.0,0.0,0.0,0.0,-0.67,-0.52,-0.33,1.64,-0.82
897,0.08,-0.22,-3.42,1.83,4.0,-4.96,-0.6,-2.35,1.88,-1.06,0.62,2.11,0.59,-1.32,1.85,-0.83
327,0.19,-0.02,-0.24,-0.39,0.0,-0.62,-0.29,0.0,0.0,0.17,0.0,0.01,-0.52,-0.79,1.83,-0.84
328,0.19,-0.03,-0.24,-0.39,0.0,-0.62,-0.29,0.0,0.0,0.17,0.0,0.01,-0.52,-0.79,1.83,-0.84
