,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,Sum
948,0.07,-0.23,0.89,-0.27,0.0,2.09,0.0,-0.83,0.53,1.43,-0.39,4.25,2.56,0.0,2.37,0.0,0.49,0.0,13.12
947,0.07,-0.22,0.89,-0.27,0.0,2.09,0.0,-0.83,0.53,1.43,-0.39,4.25,2.56,0.0,2.37,0.0,0.49,0.0,13.12
949,0.07,-0.24,0.89,-0.27,0.0,2.09,0.0,-0.83,0.53,1.43,-0.5,4.25,2.56,0.0,2.37,0.0,0.49,0.0,13.01
899,0.08,-0.24,0.89,-0.27,0.0,2.09,0.0,0.0,0.53,0.0,-0.5,4.25,2.56,0.0,2.37,0.0,0.0,0.0,11.92
993,0.06,-0.18,0.89,0.39,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.95,4.25,1.92,0.39,2.9,-0.36,0.49,0.69,11.88
932,0.07,-0.07,1.01,2.38,0.3,-0.7,0.12,0.46,-0.15,1.94,2.18,-0.5,0.94,0.0,3.18,-0.12,0.76,0.0,11.8
992,0.06,-0.17,0.81,0.39,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.95,4.25,1.92,0.39,2.9,-0.36,0.49,0.69,11.8
991,0.06,-0.16,0.81,0.39,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.96,4.25,1.92,0.39,2.9,-0.36,0.49,0.69,11.79
990,0.06,-0.15,0.81,0.39,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.96,4.25,1.92,0.39,2.9,-0.36,0.49,0.69,11.79
999,0.06,-0.24,0.89,-0.27,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.5,4.25,1.92,0.39,2.37,-0.36,0.49,0.69,11.14
888,0.08,-0.13,0.36,0.39,0.3,2.09,0.0,0.0,0.53,0.0,0.9,4.25,0.62,0.0,0.5,1.18,0.0,0.0,11.12
889,0.08,-0.14,0.36,0.39,0.0,2.09,0.0,0.0,0.53,0.0,0.9,4.25,0.62,0.0,0.5,1.18,0.0,0.0,10.82
997,0.06,-0.22,0.89,-0.27,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.94,4.25,1.92,0.39,2.37,-0.36,0.49,0.69,10.7
998,0.06,-0.23,0.89,-0.27,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.94,4.25,1.92,0.39,2.37,-0.36,0.49,0.69,10.7
994,0.06,-0.19,0.89,-0.27,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.95,4.25,1.92,0.39,2.37,-0.36,0.49,0.69,10.69
995,0.06,-0.2,0.89,-0.27,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.95,4.25,1.92,0.39,2.37,-0.36,0.49,0.69,10.69
996,0.06,-0.21,0.89,-0.27,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.95,4.25,1.92,0.39,2.37,-0.36,0.49,0.69,10.69
988,0.06,-0.13,0.81,0.39,0.3,2.09,-2.47,0.49,-0.56,1.43,-0.96,4.25,-0.07,0.39,3.07,0.17,0.49,0.69,10.51
989,0.06,-0.14,0.81,0.39,0.3,2.09,-2.48,0.49,-0.56,1.43,-0.96,4.25,-0.07,0.39,3.07,0.17,0.49,0.69,10.5
793,0.1,-0.18,0.89,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,2.83,0.0,0.0,0.0,10.48
792,0.1,-0.17,0.36,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,2.83,0.0,0.0,0.0,9.95
937,0.07,-0.12,0.36,0.13,0.3,-1.46,0.12,-0.83,0.53,1.43,-0.4,4.25,0.62,0.0,3.18,1.18,0.49,0.0,9.9
791,0.1,-0.16,0.36,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,2.83,0.0,0.0,0.0,9.89
790,0.1,-0.15,0.36,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,2.83,0.0,0.0,0.0,9.89
1136,0.03,-0.11,1.26,-0.46,0.18,1.59,-2.74,0.5,0.11,1.42,-0.69,5.34,0.99,-0.55,2.05,0.19,0.49,-0.31,9.37
882,0.08,-0.07,1.01,2.38,0.3,-0.7,0.0,0.02,-0.15,1.94,2.92,-0.28,0.94,0.0,0.61,-0.12,0.28,0.0,9.15
1143,0.03,-0.18,1.44,-0.2,0.33,2.53,-2.48,0.68,0.11,1.42,-2.94,5.03,1.99,-0.36,1.65,-0.34,0.49,-0.31,9.04
1186,0.02,-0.11,1.26,-0.96,0.18,1.72,-1.82,0.72,0.14,1.31,-0.55,5.71,0.99,-1.72,1.59,0.19,0.49,-0.39,8.86
1142,0.03,-0.17,1.22,-0.2,0.33,2.53,-2.48,0.68,0.11,1.42,-2.94,5.03,1.99,-0.36,1.65,-0.34,0.49,-0.31,8.82
1140,0.03,-0.15,1.22,-0.2,0.33,2.53,-2.48,0.68,0.11,1.42,-2.95,5.03,1.99,-0.36,1.65,-0.34,0.49,-0.31,8.81
1141,0.03,-0.16,1.22,-0.2,0.33,2.53,-2.48,0.68,0.11,1.42,-2.95,5.03,1.99,-0.36,1.65,-0.34,0.49,-0.31,8.81
1148,0.03,-0.23,1.44,-0.37,0.33,2.53,-2.48,0.68,0.11,1.42,-2.93,5.03,1.99,-0.36,1.49,-0.34,0.49,-0.31,8.72
1147,0.03,-0.22,1.44,-0.37,0.33,2.53,-2.48,0.68,0.11,1.42,-2.93,5.03,1.99,-0.36,1.49,-0.34,0.49,-0.31,8.72
1144,0.03,-0.19,1.44,-0.37,0.33,2.53,-2.48,0.68,0.11,1.42,-2.94,5.03,1.99,-0.36,1.49,-0.34,0.49,-0.31,8.71
1145,0.03,-0.2,1.44,-0.37,0.33,2.53,-2.48,0.68,0.11,1.42,-2.94,5.03,1.99,-0.36,1.49,-0.34,0.49,-0.31,8.71
1146,0.03,-0.21,1.44,-0.37,0.33,2.53,-2.48,0.68,0.11,1.42,-2.94,5.03,1.99,-0.36,1.49,-0.34,0.49,-0.31,8.71
1197,0.02,-0.22,1.44,-0.37,0.33,2.53,-1.56,0.7,0.14,1.31,-2.93,5.4,1.99,-1.53,1.49,-0.34,0.49,-0.39,8.7
1198,0.02,-0.23,1.44,-0.37,0.33,2.53,-1.56,0.7,0.14,1.31,-2.93,5.4,1.99,-1.53,1.49,-0.34,0.49,-0.39,8.7
1196,0.02,-0.21,1.44,-0.37,0.33,2.53,-1.56,0.7,0.14,1.31,-2.94,5.4,1.99,-1.53,1.49,-0.34,0.49,-0.39,8.69
1195,0.02,-0.2,1.44,-0.37,0.33,2.53,-1.56,0.7,0.14,1.31,-2.94,5.4,1.99,-1.53,1.49,-0.34,0.49,-0.39,8.69
1194,0.02,-0.19,1.44,-0.37,0.33,2.53,-1.56,0.7,0.14,1.31,-2.94,5.4,1.99,-1.53,1.49,-0.34,0.49,-0.39,8.69
1043,0.05,-0.18,0.89,0.7,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.87,3.87,1.81,0.39,2.9,-0.34,0.49,0.48,8.62
1193,0.02,-0.18,1.44,-0.71,0.33,2.53,-1.56,0.7,0.14,1.31,-2.94,5.4,1.99,-1.53,1.65,-0.34,0.49,-0.39,8.51
1135,0.03,-0.1,1.26,-0.46,-0.13,1.57,-2.74,-0.46,0.11,1.42,-0.15,5.05,0.79,-0.18,2.05,0.19,0.49,-0.31,8.5
1139,0.03,-0.14,1.22,-0.2,0.33,2.53,-2.48,0.68,0.11,1.42,-2.95,5.03,0.99,-0.36,1.75,0.19,0.49,-0.31,8.44
1042,0.05,-0.17,0.67,0.7,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.87,3.87,1.81,0.39,2.9,-0.34,0.49,0.48,8.4
1041,0.05,-0.16,0.67,0.7,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.88,3.87,1.81,0.39,2.9,-0.34,0.49,0.48,8.39
1040,0.05,-0.15,0.67,0.7,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.88,3.87,1.81,0.39,2.9,-0.34,0.49,0.48,8.39
1192,0.02,-0.17,1.22,-0.71,0.33,2.53,-1.56,0.7,0.14,1.31,-2.94,5.4,1.99,-1.53,1.65,-0.34,0.49,-0.39,8.29
1191,0.02,-0.16,1.22,-0.71,0.33,2.53,-1.56,0.7,0.14,1.31,-2.95,5.4,1.99,-1.53,1.65,-0.34,0.49,-0.39,8.28
1190,0.02,-0.15,1.22,-0.71,0.33,2.53,-1.56,0.7,0.14,1.31,-2.95,5.4,1.99,-1.53,1.65,-0.34,0.49,-0.39,8.28
1149,0.03,-0.24,1.44,-0.37,0.33,2.53,-2.48,0.68,0.11,1.42,-3.42,5.03,1.99,-0.36,1.49,-0.34,0.49,-0.31,8.23
1199,0.02,-0.24,1.44,-0.37,0.33,2.53,-1.56,0.7,0.14,1.31,-3.42,5.4,1.99,-1.53,1.49,-0.34,0.49,-0.39,8.21
933,0.07,-0.08,1.01,0.4,0.3,-0.7,0.12,0.35,-0.15,1.43,2.33,-0.65,0.94,0.0,3.18,-0.88,0.49,0.0,8.17
986,0.06,-0.11,0.81,0.13,0.3,-1.32,-2.47,1.67,-0.56,1.43,-1.04,4.26,-0.07,0.39,3.18,0.17,0.49,0.69,8.06
1185,0.02,-0.1,1.26,-0.96,-0.13,1.7,-1.82,-0.12,0.14,1.31,-0.01,5.42,0.79,-1.4,1.59,0.19,0.49,-0.39,8.06
1138,0.03,-0.13,1.22,-0.2,0.18,2.53,-2.74,0.68,0.11,1.42,-2.95,5.03,0.99,-0.36,1.75,0.19,0.49,-0.31,8.03
843,0.09,-0.18,0.89,-0.87,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,2.83,0.0,0.0,0.0,7.97
1189,0.02,-0.14,1.22,-0.71,0.33,2.53,-1.56,0.7,0.14,1.31,-2.95,5.4,0.99,-1.53,1.75,0.19,0.49,-0.39,7.91
1242,0.01,-0.17,1.58,-0.59,0.03,2.61,-1.7,0.87,0.49,1.31,-3.43,5.43,1.79,-1.99,1.68,-0.34,0.49,-0.35,7.88
1240,0.01,-0.15,1.58,-0.59,0.03,2.61,-1.7,0.87,0.49,1.31,-3.44,5.43,1.79,-1.99,1.68,-0.34,0.49,-0.35,7.87
1241,0.01,-0.16,1.58,-0.59,0.03,2.61,-1.7,0.87,0.49,1.31,-3.44,5.43,1.79,-1.99,1.68,-0.34,0.49,-0.35,7.87
1036,0.05,-0.11,0.71,0.44,0.18,-0.66,-2.47,1.67,-0.56,1.43,-1.3,3.88,-0.18,0.39,3.08,0.19,0.49,0.48,7.77
1247,0.01,-0.22,1.43,-0.37,0.03,2.61,-1.7,0.87,0.49,1.31,-3.42,5.43,1.79,-1.99,1.49,-0.34,0.49,-0.35,7.77
1248,0.01,-0.23,1.43,-0.37,0.03,2.61,-1.7,0.87,0.49,1.31,-3.42,5.43,1.79,-1.99,1.49,-0.34,0.49,-0.35,7.77
1245,0.01,-0.2,1.43,-0.37,0.03,2.61,-1.7,0.87,0.49,1.31,-3.43,5.43,1.79,-1.99,1.49,-0.34,0.49,-0.35,7.76
1235,0.01,-0.1,1.62,-0.84,-0.43,2.08,-1.96,0.86,0.49,1.31,-1.87,5.7,0.65,-1.86,1.62,0.25,0.49,-0.35,7.76
1244,0.01,-0.19,1.43,-0.37,0.03,2.61,-1.7,0.87,0.49,1.31,-3.43,5.43,1.79,-1.99,1.49,-0.34,0.49,-0.35,7.76
1246,0.01,-0.21,1.43,-0.37,0.03,2.61,-1.7,0.87,0.49,1.31,-3.43,5.43,1.79,-1.99,1.49,-0.34,0.49,-0.35,7.76
1243,0.01,-0.18,1.43,-0.59,0.03,2.61,-1.7,0.87,0.49,1.31,-3.43,5.43,1.79,-1.99,1.68,-0.34,0.49,-0.35,7.73
1236,0.01,-0.11,1.62,-0.84,-0.12,2.08,-1.96,0.89,0.49,1.31,-2.41,5.99,0.79,-2.18,1.62,0.25,0.49,-0.35,7.67
693,0.12,-0.18,0.89,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,7.65
743,0.11,-0.18,0.89,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,7.65
1049,0.05,-0.24,0.89,-0.27,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.42,3.87,1.81,0.39,2.37,-0.34,0.49,0.48,7.57
1239,0.01,-0.14,1.58,-0.59,0.03,2.61,-1.7,0.87,0.49,1.31,-3.44,5.43,0.79,-1.99,1.78,0.25,0.49,-0.35,7.56
1188,0.02,-0.13,1.22,-0.71,0.18,2.53,-1.82,0.7,0.14,1.31,-2.95,5.4,0.99,-1.53,1.75,0.19,0.49,-0.39,7.5
842,0.09,-0.17,0.36,-0.87,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,2.83,0.0,0.0,0.0,7.44
887,0.08,-0.12,0.36,0.13,0.3,-1.46,0.0,0.0,0.53,0.0,0.9,4.25,0.62,0.0,0.61,1.18,0.0,0.0,7.42
840,0.09,-0.15,0.36,-0.87,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,2.83,0.0,0.0,0.0,7.38
841,0.09,-0.16,0.36,-0.87,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,2.83,0.0,0.0,0.0,7.38
1249,0.01,-0.24,1.43,-0.37,0.03,2.61,-1.7,0.87,0.49,1.31,-3.91,5.43,1.79,-1.99,1.49,-0.34,0.49,-0.35,7.28
732,0.11,-0.07,1.01,1.64,0.0,-0.68,0.0,0.0,0.0,0.0,4.1,-0.11,0.94,0.0,0.0,0.0,0.28,0.0,7.18
1238,0.01,-0.13,1.58,-0.59,-0.12,2.61,-1.96,0.87,0.49,1.31,-3.44,5.43,0.79,-1.99,1.78,0.25,0.49,-0.35,7.15
1047,0.05,-0.22,0.89,-0.27,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.86,3.87,1.81,0.39,2.37,-0.34,0.49,0.48,7.13
1048,0.05,-0.23,0.89,-0.27,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.86,3.87,1.81,0.39,2.37,-0.34,0.49,0.48,7.13
1044,0.05,-0.19,0.89,-0.27,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.87,3.87,1.81,0.39,2.37,-0.34,0.49,0.48,7.12
1045,0.05,-0.2,0.89,-0.27,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.87,3.87,1.81,0.39,2.37,-0.34,0.49,0.48,7.12
1046,0.05,-0.21,0.89,-0.27,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.87,3.87,1.81,0.39,2.37,-0.34,0.49,0.48,7.12
742,0.11,-0.17,0.36,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,7.12
692,0.12,-0.17,0.36,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,7.12
987,0.06,-0.12,0.81,0.13,0.3,-1.18,-2.47,0.49,-0.56,1.43,-0.96,4.25,-0.07,0.39,3.18,0.17,0.49,0.69,7.09
691,0.12,-0.16,0.36,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,0.0,0.0,0.0,0.0,7.06
690,0.12,-0.15,0.36,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,0.0,0.0,0.0,0.0,7.06
740,0.11,-0.15,0.36,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,0.0,0.0,0.0,0.0,7.06
741,0.11,-0.16,0.36,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,0.0,0.0,0.0,0.0,7.06
683,0.12,-0.08,1.01,1.64,0.0,-0.68,0.0,0.0,0.0,0.0,4.25,-0.11,0.94,0.0,0.0,0.0,0.0,0.0,7.05
682,0.12,-0.07,1.01,1.64,0.0,-0.68,0.0,0.0,0.0,0.0,4.25,-0.11,0.94,0.0,0.0,0.0,0.0,0.0,7.05
1039,0.05,-0.14,0.67,0.7,0.33,2.09,-2.48,0.49,-0.56,1.43,-3.88,3.87,-0.18,0.39,2.97,0.19,0.49,0.48,7.0
1184,0.02,-0.09,1.26,-1.43,-0.13,1.6,-1.82,-0.12,0.14,1.31,-0.15,5.38,0.79,-1.4,1.59,-0.12,0.49,-0.39,7.0
782,0.1,-0.07,1.01,1.64,0.0,-0.68,0.0,0.0,0.0,0.0,4.1,-0.11,0.94,0.0,-0.18,0.0,0.28,0.0,7.0
733,0.11,-0.08,1.01,1.64,0.0,-0.68,0.0,0.0,0.0,0.0,4.1,-0.11,0.94,0.0,0.0,0.0,0.0,0.0,6.9
936,0.07,-0.11,0.36,0.13,0.3,-1.46,0.12,0.35,0.53,1.43,-0.75,0.4,0.62,0.0,3.18,1.18,0.49,0.0,6.88
832,0.09,-0.07,1.01,1.51,0.0,-0.68,0.0,0.02,0.0,0.0,3.47,-0.11,0.94,0.0,0.43,0.0,0.28,0.0,6.87
1038,0.05,-0.13,0.67,0.7,0.18,2.09,-2.47,0.49,-0.56,1.43,-3.88,3.87,-0.18,0.39,2.97,0.19,0.49,0.48,6.86
845,0.09,-0.2,0.89,-1.53,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,2.37,0.0,0.0,0.0,6.85
844,0.09,-0.19,0.89,-1.53,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,2.37,0.0,0.0,0.0,6.85
848,0.09,-0.23,0.89,-1.53,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,2.37,0.0,0.0,0.0,6.85
847,0.09,-0.22,0.89,-1.53,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,2.37,0.0,0.0,0.0,6.85
846,0.09,-0.21,0.89,-1.53,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,2.37,0.0,0.0,0.0,6.85
1183,0.02,-0.08,1.4,-1.43,-0.13,1.6,-1.82,0.17,-0.54,1.31,-0.36,5.18,1.29,-1.4,1.59,-0.12,0.49,-0.39,6.84
1133,0.03,-0.08,1.4,-1.02,-0.13,1.61,-2.74,-0.17,-0.57,1.42,1.05,4.85,1.29,-0.18,2.05,-2.26,0.49,-0.31,6.78
643,0.13,-0.18,0.0,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.76
642,0.13,-0.17,0.0,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.76
1037,0.05,-0.12,0.67,0.44,0.18,-0.52,-2.47,0.49,-0.56,1.43,-1.22,3.87,-0.18,0.39,3.08,0.19,0.49,0.48,6.76
783,0.1,-0.08,1.01,1.64,0.0,-0.68,0.0,0.0,0.0,0.0,4.1,-0.11,0.94,0.0,-0.18,0.0,0.0,0.0,6.72
641,0.13,-0.16,0.0,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.7
1234,0.01,-0.09,1.62,-1.31,-0.43,1.98,-1.96,0.86,0.49,1.31,-2.01,5.66,0.65,-1.86,1.62,-0.06,0.49,-0.35,6.7
640,0.13,-0.15,0.0,1.64,0.0,1.6,0.0,0.0,0.0,0.0,0.9,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.7
1285,0.0,-0.1,1.62,-0.84,-0.36,2.13,-1.95,0.54,0.49,1.31,-1.88,5.7,1.17,-2.9,1.7,-0.26,0.55,-0.35,6.67
935,0.07,-0.1,0.36,0.13,0.3,-1.48,0.12,0.35,0.53,1.43,0.09,-0.65,0.62,0.0,3.18,1.18,0.49,0.0,6.65
931,0.07,-0.06,0.49,1.59,0.3,-0.33,0.12,0.46,-0.15,-0.51,-0.23,-0.5,0.78,0.0,3.05,-0.12,0.76,0.9,6.61
1035,0.05,-0.1,0.71,0.44,0.27,-0.68,-2.47,0.84,-0.56,1.43,-0.46,2.83,-0.38,0.39,3.08,0.19,0.49,0.48,6.6
1292,0.0,-0.17,1.58,-0.59,0.05,2.61,-1.69,0.87,0.49,1.31,-3.43,5.43,1.69,-3.03,1.42,-0.34,0.55,-0.35,6.57
1289,0.0,-0.14,1.58,-0.59,0.05,2.61,-1.69,0.87,0.49,1.31,-3.44,5.43,1.31,-3.03,1.73,-0.27,0.55,-0.35,6.56
1137,0.03,-0.12,1.22,-0.46,0.18,1.73,-2.74,0.68,0.11,1.42,-3.47,5.03,0.99,-0.55,2.05,0.19,0.49,-0.31,6.56
1290,0.0,-0.15,1.58,-0.59,0.05,2.61,-1.69,0.87,0.49,1.31,-3.44,5.43,1.69,-3.03,1.42,-0.34,0.55,-0.35,6.56
1291,0.0,-0.16,1.58,-0.59,0.05,2.61,-1.69,0.87,0.49,1.31,-3.44,5.43,1.69,-3.03,1.42,-0.34,0.55,-0.35,6.56
1286,0.0,-0.11,1.62,-0.84,-0.1,2.08,-1.95,0.57,0.49,1.31,-2.42,5.99,1.31,-3.22,1.7,-0.26,0.55,-0.35,6.48
1298,0.0,-0.23,1.43,-0.37,0.05,2.61,-1.69,0.87,0.49,1.31,-3.42,5.43,1.69,-3.03,1.23,-0.34,0.55,-0.35,6.46
1297,0.0,-0.22,1.43,-0.37,0.05,2.61,-1.69,0.87,0.49,1.31,-3.42,5.43,1.69,-3.03,1.23,-0.34,0.55,-0.35,6.46
1296,0.0,-0.21,1.43,-0.37,0.05,2.61,-1.69,0.87,0.49,1.31,-3.43,5.43,1.69,-3.03,1.23,-0.34,0.55,-0.35,6.45
1294,0.0,-0.19,1.43,-0.37,0.05,2.61,-1.69,0.87,0.49,1.31,-3.43,5.43,1.69,-3.03,1.23,-0.34,0.55,-0.35,6.45
1295,0.0,-0.2,1.43,-0.37,0.05,2.61,-1.69,0.87,0.49,1.31,-3.43,5.43,1.69,-3.03,1.23,-0.34,0.55,-0.35,6.45
1293,0.0,-0.18,1.43,-0.59,0.05,2.61,-1.69,0.87,0.49,1.31,-3.43,5.43,1.69,-3.03,1.42,-0.34,0.55,-0.35,6.42
632,0.13,-0.07,0.0,1.64,0.0,-0.68,0.0,0.0,0.0,0.0,4.25,0.0,0.94,0.0,0.0,0.0,0.0,0.0,6.15
1288,0.0,-0.13,1.58,-0.59,-0.1,2.61,-1.95,0.87,0.49,1.31,-3.44,5.43,1.31,-3.03,1.73,-0.27,0.55,-0.35,6.15
633,0.13,-0.08,0.0,1.64,0.0,-0.68,0.0,0.0,0.0,0.0,4.25,0.0,0.94,0.0,0.0,0.0,0.0,0.0,6.15
796,0.1,-0.21,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
794,0.1,-0.19,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
746,0.11,-0.21,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
748,0.11,-0.23,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
747,0.11,-0.22,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
695,0.12,-0.2,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
696,0.12,-0.21,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
697,0.12,-0.22,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
698,0.12,-0.23,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
797,0.1,-0.22,0.89,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.96,0.0,2.56,0.0,0.0,0.0,0.0,0.0,6.01
